sequence_name,clade
"Influenza A virus (A/swine/Minnesota/A02979398/2025(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa|2025-02-25|PV648404.1",1990.4
A/swine/Ohio/A02750648/2022|A_/_H3N2|unassigned|2022-06-09|HA|4||EPI_ISL_14875212,2010.1
A/swine/Wisconsin/A02862447/2024|A_/_H3N2|3C.2|2024-03-08|HA|4||EPI_ISL_19072934,2010.1
A/swine/Iowa/A02750929/2022|A_/_H3N2|unassigned|2022-09-21|HA|4||EPI_ISL_16215650,2010.1
A/swine/Indiana/24TOSU0684/2024|A_/_H3N2|3C.3a|2024-06-13|HA|4||EPI_ISL_19332093,1990.4.a
A/swine/Nebraska/A02140873/2018|A_/_H3N2|unassigned|2018-01-19|HA|4||EPI_ISL_299564,2010.1
A/swine/North_Carolina/ISU-A02862165/2023|A_/_H3N2|unassigned|2023-12-15|HA|4||EPI_ISL_18847105,1990.4.a
A/swine/Nebraska/A02858239/2024|A_/_H3N1|unassigned|2024-12-18|HA|4||EPI_ISL_19678833,1990.4.i
A/swine/Oklahoma/A02712158/2022|A_/_H3N2|unassigned|2022-09-30|HA|4||EPI_ISL_16212279,1990.4.b1
A/swine/Iowa/A02524862/2020|A_/_H3N2|unassigned|2020-11-04|HA|4||EPI_ISL_4081701,2010.1
A/swine/Illinois/A02636634/2022|A_/_H3N2|unassigned|2022-04-12|HA|4||EPI_ISL_14835657,1990.4.a
A/swine/Michigan/22TOSU3747/2022|A_/_H3N2|3C.2|2022-08-06|HA|4||EPI_ISL_17409617,2010.1
A/swine/Illinois/100547/2019|A_/_H3|3C.3a|2019-01-03|HA|4||EPI_ISL_19278465,1990.1
A/swine/Illinois/A02524405/2020|A_/_H3N2|unassigned|2020-07-10|HA|4||EPI_ISL_706287,1990.4.a
A/swine/Nebraska/A01847244/2015|A_/_H3N2|unassigned|2015-04-09|HA|4||EPI_ISL_190610,1990.4.a
A/swine/Illinois/A02863118/2024|A_/_H3N2|unassigned|2024-11-01|HA|4||EPI_ISL_19603473,2010.1
A/swine/Iowa/A02478662/2019|A_/_H3N2|unassigned|2019-09-10|HA|4||EPI_ISL_396139,2010.1
A/swine/Missouri/A01667103/2017|A_/_H3N2|unassigned|2017-03-13|HA|4||EPI_ISL_262599,2010.1
A/swine/Illinois/100249/2017|A_/_H3|unassigned|2017-01-19|HA|4||EPI_ISL_19278889,1990.4.a
A/swine/Iowa/MT_12_07_2593/2012|A_/_H3N2|unassigned|2012-04-30|HA|4||EPI_ISL_271046,1990.4.f
A/swine/Illinois/A01241212/2012|A_/_H3N2|unassigned|2012-01-24|HA|4||EPI_ISL_129989,1990.4.f
A/swine/Iowa/A02750740/2022|A_/_H3N2|3C.2a1|2022-07-26|HA|4||EPI_ISL_14937226,2010.2
A/swine/Iowa/A02478516/2019|A_/_H3N2|unassigned|2019-05-20|HA|4||EPI_ISL_369147,1990.4.a
A/swine/Iowa/16TOSU2257/2016|A_/_H3N2|unassigned|2016-06-09|HA|4||EPI_ISL_253982,1990.4.a
A/swine/Illinois/101594/2023|A_/_H3|3C.2|2023-04-13|HA|4||EPI_ISL_19277709,2010.1
A/swine/Illinois/100757/2021|A_/_H3|3C.3a|2021-03-12|HA|4||EPI_ISL_19278051,1990.4.a
A/swine/Illinois/A02861596/2023|A_/_H3N2|3C.2|2023-06-21|HA|4||EPI_ISL_18042986,2010.1
A/swine/Arkansas/02863/2009|A_/_H3N2|unassigned|2009-06-26|HA|4||EPI_ISL_151279,1990.4
A/swine/IA/46375/2018|A_/_H3N2|unassigned|2018-06-27|HA|4||EPI_ISL_389817,1990.1
A/swine/Minnesota/A01678489/2017|A_/_H3N2|unassigned|2017-05-05|HA|4||EPI_ISL_271022,2010.1
A/swine/Ohio/OH20-6892/2020|A_/_H3N2|3C.3a|2020-04-01|HA|4||EPI_ISL_17373134,1990.4.a
A/swine/Indiana/24TOSU0947/2024|A_/_H3N2|3C.3a|2024-06-13|HA|4||EPI_ISL_19332125,1990.4.a
A/swine/Iowa/A02219787/2017|A_/_H3N2|unassigned|2017-08-23|HA|4||EPI_ISL_282398,2010.1
A/swine/Minnesota/A02245304/2019|A_/_H3N2|unassigned|2019-10-24|HA|4||EPI_ISL_399711,2010.1
A/swine/Iowa/A02525241/2021|A_/_H3N2|unassigned|2021-03-04|HA|4||EPI_ISL_4082165,1990.4.a
"Influenza A virus (A/swine/Iowa/A01781761/2016(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2016-09-22|KY007242.1",2010.1
A/swine/Wyoming/A01379346/2013|A_/_H3N2|unassigned|2013-03-29|HA|4||EPI_ISL_141386,1990.4.a
A/swine/North_Carolina/A02525302/2021|A_/_H3N2|unassigned|2021-03-25|HA|4||EPI_ISL_4082436,1990.4.a
A/swine/Iowa/A02134231/2017|A_/_H3N2|unassigned|2017-10-18|HA|4||EPI_ISL_296538,2010.1
A/swine/Iowa/A02135004/2017|A_/_H3N2|unassigned|2017-10-31|HA|4||EPI_ISL_297059,2010.1
A/swine/Minnesota/1145/2007|A_/_H3N2|unassigned|2007-01-01|HA|4||EPI_ISL_63617,1990.4
A/swine/Indiana/A01260521/2014|A_/_H3N2|unassigned|2014-03-19|HA|4||EPI_ISL_162934,1990.4.a
A/swine/Iowa/A02271039/2018|A_/_H3N2|unassigned|2018-11-21|HA|4||EPI_ISL_376376,2010.1
A/swine/Iowa/A02858291/2025|A_/_H3N2|unassigned|2025-01-14|HA|4||EPI_ISL_19764695,2010.1
"Influenza A virus (A/swine/Iowa/20TOSU2181/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2020-07-10|OP655030.1",1990.4.a
A/swine/Texas/A02711823/2022|A_/_H3N2|unassigned|2022-05-06|HA|4||EPI_ISL_14224058,2010.1
A/swine/Iowa/A02248046/2021|A_/_H3N2|unassigned|2021-12-01|HA|4||EPI_ISL_14769985,1990.4.a
"Influenza A virus (A/swine/Iowa/20TOSU1874/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2020-07-09|OP656255.1",1990.4.a
A/swine/Iowa/13H092/2013|A_/_H3N2|unassigned|2013-08-28|HA|4||EPI_ISL_164910,1990.4.a
"Influenza A virus (A/swine/Minnesota/A02978742/2024(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa|2024-01-18|PP580006.1",1990.4.a
A/swine/Minnesota/A02711799/2022|A_/_H3N2|unassigned|2022-03-25|HA|4||EPI_ISL_14835329,2010.1
A/swine/Iowa/A01895860/2016|A_/_H3N2|unassigned|2016-04-20|HA|4||EPI_ISL_225502,2010.1
A/swine/Indiana/A02479428/2020|A_/_H3N2|unassigned|2020-06-04|HA|4||EPI_ISL_499202,1990.4.a
A/swine/Kentucky/16TOSU3279/2016|A_/_H3N2|unassigned|2016-07-07|HA|4||EPI_ISL_254018,1990.4.a
A/swine/Iowa/A02479126/2020|A_/_H3N2|unassigned|2020-03-05|HA|4||EPI_ISL_503976,1990.4.a
A/swine/Minnesota/A02980490/2025|A_/_H3N2|unassigned|2025-05-14|HA|4||EPI_ISL_20100714,2010.1
A/swine/North_Carolina/A01671000/2016|A_/_H3N2|unassigned|2016-12-02|HA|4||EPI_ISL_252805,1990.4.a
A/swine/North_Carolina/A02858626/2025|A_/_H3N2|unassigned|2025-05-14|HA|4||EPI_ISL_19902455,1990.4.a
A/swine/Minnesota/A02858601/2025|A_/_H3N2|unassigned|2025-05-02|HA|4||EPI_ISL_19890490,1990.4.a
A/swine/Indiana/14TOSU0343/2014|A_/_H3N2|unassigned|2014-01-01|HA|4||EPI_ISL_200849,1990.4.b1
"Influenza A virus (A/swine/Indiana/23TOSU2412/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2023-07-13|PP461255.1",1990.4.a
A/swine/Iowa/A02636165/2021|A_/_H3N2|unassigned|2021-09-16|HA|4||EPI_ISL_6816047,2010.1
A/swine/Minnesota/004563_02859045/2025|A_/_H3N2|unassigned|2025-10-31|HA|4||EPI_ISL_20389165,2010.1
A/swine/North_Carolina/A01476719/2014|A_/_H3N2|unassigned|2014-10-14|HA|4||EPI_ISL_171030,1990.4.a
A/swine/Ohio/A01795737/2015|A_/_H3N2|unassigned|2015-11-02|HA|4||EPI_ISL_205063,2010.1
A/swine/North_Carolina/A02025678/2015|A_/_H3N2|unassigned|2015-08-21|HA|4||EPI_ISL_200962,1990.4.a
A/swine/Indiana/A01290854/2013|A_/_H3N2|unassigned|2013-11-01|HA|4||EPI_ISL_154609,1990.4.a
"Influenza A virus (A/swine/Ohio/OH19-21531-5/2019(H3N1)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N1|USA: Ohio|Sus scrofa|2019-09-30|OQ759622.1",2010.1
A/swine/Iowa/A02751293/2022|A_/_H3N2|3C.3a|2022-11-29|HA|4||EPI_ISL_16840841,1990.4.a
A/swine/Iowa/A02862490/2024|A_/_H3N2|unassigned|2024-04-02|HA|4||EPI_ISL_19095240,2010.1
A/Swine/Nebraska/209/98|A_/_H3N2|unassigned|1998-01-01|HA|4||EPI_ISL_1716,1990.1
A/swine/Kentucky/17TOSU6329/2017|A_/_H3N2|unassigned|2017-07-01|HA|4||EPI_ISL_373645,2010.1
A/swine/Minnesota/A01941094/2015|A_/_H3N2|unassigned|2015-11-13|HA|4||EPI_ISL_205994,2010.1
A/swine/Oklahoma/A02524568/2020|A_/_H3N2|unassigned|2020-08-26|HA|4||EPI_ISL_707275,1990.1
A/swine/Illinois/53612-6/2010|A_/_H3N2|unassigned|2010-04-22|HA|4||EPI_ISL_86219,1990.4
A/swine/Illinois/100116/2015|A_/_H3|3C.3a|2015-06-12|HA|4||EPI_ISL_19279198,1990.4.a
A/swine/Iowa/A02478649/2019|A_/_H3N2|unassigned|2019-09-09|HA|4||EPI_ISL_393540,1990.4.a
A/swine/Indiana/25TOSU2103/2025|A_/_H3N2|unassigned|2025-06-27|HA|4||EPI_ISL_20191161,2010.1
"Influenza A virus (A/swine/Indiana/A02751400/2022(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Indiana|Sus scrofa|2022-12-09|OQ469412.1",1990.4.a
A/swine/Nebraska/00188/2003|A_/_H3N2|unassigned|2003-10-03|HA|4||EPI_ISL_151253,Other-Human-2000-like
A/swine/Nebraska/A01489819/2015|A_/_H3N2|unassigned|2015-03-19|HA|4||EPI_ISL_177593,1990.4.a
A/swine/Iowa/A01782224/2016|A_/_H3N2|unassigned|2016-10-02|HA|4||EPI_ISL_245033,2010.1
A/swine/Illinois/101029/2004|A_/_H3|unassigned|2004-10-19|HA|4||EPI_ISL_19279584,1990.4
A/swine/Arkansas/A01840147/2014|A_/_H3N2|unassigned|2014-12-12|HA|4||EPI_ISL_174463,1990.4.a
A/swine/Indiana/A00968364/2012|A_/_H3N2|unassigned|2012-07-03|HA|4||EPI_ISL_151699,1990.4.a
A/swine/IA/34208/2018|A_/_H3N2|unassigned|2018-05-10|HA|4||EPI_ISL_389812,1990.1
A/swine/Iowa/A01781487/2016|A_/_H3N2|unassigned|2016-09-13|HA|4||EPI_ISL_243372,2010.1
A/swine/Iowa/A02525175/2021|A_/_H3N1|unassigned|2021-02-12|HA|4||EPI_ISL_4082025,2010.1
"Influenza A virus (A/swine/Texas/A02246910/2022(H3N?)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N?|USA: Texas|Sus scrofa|2022-01-06|OM654385.1",2010.1
A/swine/Iowa/A02750869/2022|A_/_H3N2|unassigned|2022-09-08|HA|4||EPI_ISL_15620422,2010.1
A/swine/Illinois/A01554902/2015|A_/_H3N2|unassigned|2015-04-24|HA|4||EPI_ISL_190493,1990.4.a
A/swine/Minnesota/A02858233/2024|A_/_H3N2|unassigned|2024-12-18|HA|4||EPI_ISL_19678843,1990.4.a
A/swine/Minnesota/A01300992/2012|A_/_H3N2|unassigned|2012-07-10|HA|4||EPI_ISL_130135,1990.4.b1
"Influenza A virus (A/swine/Ohio/20TOSU3235/2020(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2020-08-28|OP655107.1",1990.4.a
"Influenza A virus (A/swine/Oklahoma/A02862301/2024(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Oklahoma|Sus scrofa|2024-02-14|PP467092.1",2010.1
A/swine/Iowa/A01203197/2012|A_/_H3N2|unassigned|2012-01-26|HA|4||EPI_ISL_116142,1990.4.d
A/swine/Oklahoma/A02862687/2024|A_/_H3N2|unassigned|2024-06-13|HA|4||EPI_ISL_19310944,1990.4.b1
A/swine/North_Carolina/A01785360/2017|A_/_H3N2|unassigned|2017-11-21|HA|4||EPI_ISL_297079,2010.1
A/swine/Iowa/A02524689/2020|A_/_H3N2|unassigned|2020-10-01|HA|4||EPI_ISL_697649,1990.4.a
A/swine/Ohio/A01728296/2015|A_/_H3N2|unassigned|2015-12-21|HA|4||EPI_ISL_211813,2010.1
A/swine/Nebraska/A01785250/2017|A_/_H3N2|unassigned|2017-03-06|HA|4||EPI_ISL_261453,1990.4.a
A/swine/Minnesota/SG-00236/2007|A_/_H3N2|unassigned|2007-06-10|HA|4||EPI_ISL_25303,1990.4
A/swine/North_Carolina/A01730588/2016|A_/_H3N2|unassigned|2016-01-28|HA|4||EPI_ISL_216893,1990.4.a
A/swine/Iowa/A02221528/2017|A_/_H3N2|unassigned|2017-08-28|HA|4||EPI_ISL_285327,2010.1
A/swine/Illinois/100500/2018|A_/_H3|3C.2|2018-05-25|HA|4||EPI_ISL_19278583,2010.1
A/swine/Iowa/A02636112/2021|A_/_H3N2|unassigned|2021-09-01|HA|4||EPI_ISL_6785591,2010.1
A/swine/IA/26354/2018|A_/_H3N2|unassigned|2018-04-11|HA|4||EPI_ISL_389803,1990.1
A/swine/Iowa/077904_A02862789/2024|A_/_H3N2|unassigned|2024-08-01|HA|4||EPI_ISL_19367313,2010.1
A/swine/Minnesota/A01785389/2017|A_/_H3N2|unassigned|2017-12-18|HA|4||EPI_ISL_298631,2010.1
A/swine/North_Carolina/097166_02858848/2025|A_/_H3N2|unassigned|2025-09-17|HA|4||EPI_ISL_20220054,2010.1
A/swine/Illinois/A01567281/2014|A_/_H3N2|unassigned|2014-12-23|HA|4||EPI_ISL_174540,1990.4.b2
"Influenza A virus (A/swine/Minnesota/A02861255/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Minnesota|Sus scrofa|2023-03-03|OQ836581.1",2010.1
A/swine/Iowa/A02862634/2024|A_/_H3N2|3C.2|2024-05-20|HA|4||EPI_ISL_19244071,2010.1
A/swine/Iowa/A02524943/2020|A_/_H3N2|unassigned|2020-12-02|HA|4||EPI_ISL_4081817,2010.1
A/swine/North_Carolina/A02478832/2019|A_/_H3N2|unassigned|2019-11-06|HA|4||EPI_ISL_503382,2010.1
A/swine/North_Carolina/A02525064/2021|A_/_H3N2|unassigned|2021-01-13|HA|4||EPI_ISL_4081944,1990.4.a
A/swine/North_Carolina/USDA-A02978569/2023|A_/_H3N2|unassigned|2023-10-11|HA|4||EPI_ISL_18758900,1990.4.a
A/swine/Indiana/A02429957/2019|A_/_H3N2|unassigned|2019-01-24|HA|4||EPI_ISL_373541,2010.1
A/swine/Pennsylvania/116342_02858956/2025|A_/_H3N2|unassigned|2025-11-17|HA|4||EPI_ISL_20348176,2010.1
A/swine/Iowa/100943/2019|A_/_H3|3C.2|2019-10-09|HA|4||EPI_ISL_19278312,2010.1
A/swine/Iowa/A02218156/2017|A_/_H3N2|unassigned|2017-07-10|HA|4||EPI_ISL_279495,1990.4.a
A/swine/Indiana/16TOSU4043/2016|A_/_H3N2|unassigned|2016-06-01|HA|4||EPI_ISL_280210,1990.4.a
A/swine/North_Carolina/A01728953/2016|A_/_H3N2|unassigned|2016-01-06|HA|4||EPI_ISL_212209,2010.1
A/swine/Iowa/A02077555/2015|A_/_H3N2|unassigned|2015-05-07|HA|4||EPI_ISL_190477,1990.4.b1
A/swine/Indiana/A01812311/2020|A_/_H3N2|unassigned|2020-08-31|HA|4||EPI_ISL_707335,1990.4.a
A/swine/Iowa/87006/2020|A_/_H3|unassigned|2020-11-04|HA|4||EPI_ISL_4081734,2010.2
A/swine/Kansas/10-91088/2010|A_/_H3N2|unassigned|2010-12-30|HA|4||EPI_ISL_100198,1990.4.f
A/swine/USA/11/2017|A_/_H3N2|3C.2a1|2017-07-10|HA|4||EPI_ISL_505846,2010.2
A/swine/Texas/A02246992/2021|A_/_H3N2|unassigned|2021-11-11|HA|4||EPI_ISL_14770027,2010.1
A/swine/North_Carolina/A01797533/2015|A_/_H3N2|unassigned|2015-11-19|HA|4||EPI_ISL_208944,1990.4.b2
A/swine/Iowa/A01481221/2014|A_/_H3N2|unassigned|2014-05-02|HA|4||EPI_ISL_163635,1990.4.b1
A/swine/Nebraska/A02171222/2018|A_/_H3N2|unassigned|2018-07-13|HA|4||EPI_ISL_327493,2010.1
A/swine/Indiana/A02751460/2023|A_/_H3N2|3C.3a|2023-01-10|HA|4||EPI_ISL_17184126,1990.4.a
A/swine/Michigan/22TOSU3732/2022|A_/_H3N2|3C.2|2022-08-06|HA|4||EPI_ISL_17409668,2010.1
A/swine/Minnesota/A02978903/2024|A_/_H3N2|unassigned|2024-05-08|HA|4||EPI_ISL_19328761,1990.4.a
A/swine/Minnesota/A01668937/2016|A_/_H3N2|unassigned|2016-11-30|HA|4||EPI_ISL_252783,2010.1
A/swine/Oklahoma/00141/2003|A_/_H3N2|unassigned|2003-08-28|HA|4||EPI_ISL_151608,1990.4-like
A/swine/Minnesota/A01279377/2012|A_/_H3N2|unassigned|2012-11-21|HA|4||EPI_ISL_132911,1990.4.e
A/swine/Maryland/A01764002/2017|A_/_H3N2|unassigned|2017-09-17|HA|4||EPI_ISL_284699,2010.1
A/swine/Indiana/A02863133/2024|A_/_H3N2|unassigned|2024-11-11|HA|4||EPI_ISL_19633312,2010.1
A/Swine/Oklahoma/18089/99|A_/_H3N2|unassigned|1999-01-01|HA|4||EPI_ISL_1748,1990.4-like
A/swine/Iowa/004673_02859148/2025|A_/_H3N2|unassigned|2025-12-26|HA|4||EPI_ISL_20389167,2010.1
A/swine/Minnesota/A02245763/2020|A_/_H3N2|unassigned|2020-10-23|HA|4||EPI_ISL_4081670,2010.1
A/swine/Nebraska/A01785451/2018|A_/_H3N2|unassigned|2018-02-21|HA|4||EPI_ISL_304740,1990.4.b2
A/swine/North_Carolina/A01290442/2013|A_/_H3N2|unassigned|2013-09-01|HA|4||EPI_ISL_151718,1990.4.a
A/swine/Wyoming/101684/2021|A_/_H3|unassigned|2021-09-22|HA|4||EPI_ISL_19278004,1990.4.a
A/swine/Oklahoma/SG1473/2005|A_/_H3N2|unassigned|2005-09-23|HA|4||EPI_ISL_151286,1990.4
A/swine/Minnesota/A01785563/2018|A_/_H3N2|unassigned|2018-06-05|HA|4||EPI_ISL_328385,2010.1
A/swine/Illinois/A01520758/2014|A_/_H3N2|unassigned|2014-10-14|HA|4||EPI_ISL_171108,1990.4.a
A/swine/Iowa/A02525249/2021|A_/_H3N2|unassigned|2021-03-11|HA|4||EPI_ISL_4082182,2010.1
"Influenza A virus (A/swine/Kentucky/23TOSU2322/2023(H3Nx)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3Nx|USA|Sus scrofa scrofa|2023-07-05|PP461320.1",1990.4.a
"Influenza A virus (A/swine/Indiana/23TOSU2889/2023(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2023-07-27|PP461324.1",1990.4.a
A/swine/Indiana/14TOSU8050/2014|A_/_H3N2|unassigned|2014-01-01|HA|4||EPI_ISL_200886,1990.4.b1
"Influenza A virus (A/swine/Pennsylvania/A02257263/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Pennsylvania|Sus scrofa|2018-09-06|MH992674.1",2010.1
A/swine/North_Carolina/A02978522/2023|A_/_H3N2|unassigned|2023-05-11|HA|4||EPI_ISL_18090329,1990.4.a
A/swine/Iowa/A01668518/2016|A_/_H3N2|unassigned|2016-11-14|HA|4||EPI_ISL_246092,2010.1
A/swine/Minnesota/A01781044/2016|A_/_H3N2|unassigned|2016-08-31|HA|4||EPI_ISL_237047,2010.1
A/swine/Illinois/B1708DTW21/2017|A_/_H3N2|unassigned|2017-08-11|HA|4||EPI_ISL_4082140,2010.1
A/swine/Utah/A02427845/2018|A_/_H3N2|unassigned|2018-12-20|HA|4||EPI_ISL_376851,2010.1
A/swine/Iowa/A02862390/2024|A_/_H3N2|3C.2|2024-03-13|HA|4||EPI_ISL_19072310,2010.1
A/swine/Nebraska/A02524410/2022|A_/_H3N2|unassigned|2022-06-22|HA|4||EPI_ISL_14885952,1990.4.a
A/swine/Ohio/16TOSU8764/2016|A_/_H3N2|unassigned|2016-08-13|HA|4||EPI_ISL_243728,2010.1
A/swine/Indiana/A00968390/2012|A_/_H3N2|unassigned|2012-08-01|HA|4||EPI_ISL_130417,1990.4.a
A/swine/Illinois/100550/2019|A_/_H3|3C.3a|2019-01-23|HA|4||EPI_ISL_19278449,1990.1
A/swine/Minnesota/004577_02859058/2025|A_/_H3N2|unassigned|2025-11-11|HA|4||EPI_ISL_20389164,2010.1
A/swine/SouthDakota/A01678549/2018|A_/_H3N2|unassigned|2018-03-19|HA|4||EPI_ISL_329712,1990.4.a
A/swine/Minnesota/A01432462/2013|A_/_H3N2|unassigned|2013-02-01|HA|4||EPI_ISL_138853,1990.4.b1
A/swine/Illinois/A01116190/2011|A_/_H3N2|unassigned|2011-08-25|HA|4||EPI_ISL_124437,1990.4.e
A/swine/North_Carolina/A01409423/2013|A_/_H3N2|unassigned|2013-12-01|HA|4||EPI_ISL_154619,1990.4.a
