"sequence_name","clade","name_cleaned","location","date"
"A/swine/Iowa/A01202530/2011|A_/_H3N2|unassigned|2011-08-22|HA|4|EPI_ISL_124247","1990.4.a","A/swine/Iowa/A01202530/2011|A_/_H3N2|1990.4.a|2011-08-22|HA|4|EPI_ISL_124247","Iowa","2011-08-22"
"A/swine/Iowa/A01202529/2011|A_/_H3N2|unassigned|2011-08-22|HA|4|EPI_ISL_124313","unassigned","A/swine/Iowa/A01202529/2011|A_/_H3N2|unassigned|2011-08-22|HA|4|EPI_ISL_124313","Iowa","2011-08-22"
"A/swine/Iowa/A01202573/2011|A_/_H3N2|unassigned|2011-09-07|HA|4|EPI_ISL_124314","unassigned","A/swine/Iowa/A01202573/2011|A_/_H3N2|unassigned|2011-09-07|HA|4|EPI_ISL_124314","Iowa","2011-09-07"
"A/swine/Illinois/A00857131/2011|A_/_H3N2||2011-09-24|HA|4|EPI_ISL_121898.1","unassigned","A/swine/Illinois/A00857131/2011|A_/_H3N2||2011-09-24|HA|4|EPI_ISL_121898.1","Illinois","2011-09-24"
"A/swine/Iowa/A01202659/2011|A_/_H3N2|unassigned|2011-10-06|HA|4|EPI_ISL_102531","1990.4.a","A/swine/Iowa/A01202659/2011|A_/_H3N2|1990.4.a|2011-10-06|HA|4|EPI_ISL_102531","Iowa","2011-10-06"
"A/swine/Iowa/A01202878/2011|A_/_H3N2|unassigned|2011-11-17|HA|4|EPI_ISL_127868","1990.4.a","A/swine/Iowa/A01202878/2011|A_/_H3N2|1990.4.a|2011-11-17|HA|4|EPI_ISL_127868","Iowa","2011-11-17"
"A/swine/Iowa/A01202879/2011|A_/_H3N2|unassigned|2011-11-17|HA|4|EPI_ISL_124319","unassigned","A/swine/Iowa/A01202879/2011|A_/_H3N2|unassigned|2011-11-17|HA|4|EPI_ISL_124319","Iowa","2011-11-17"
"A/swine/Iowa/A01202639/2011|A_/_H3N2|unassigned|2011-09-30|HA|4|EPI_ISL_124312","1990.4.a","A/swine/Iowa/A01202639/2011|A_/_H3N2|1990.4.a|2011-09-30|HA|4|EPI_ISL_124312","Iowa","2011-09-30"
"A/swine/Texas/A01104013/2012|A_/_H3N2|unassigned|2012-02-15|HA|4|EPI_ISL_124250","1990.4.a","A/swine/Texas/A01104013/2012|A_/_H3N2|1990.4.a|2012-02-15|HA|4|EPI_ISL_124250","Texas","2012-02-15"
"A/swine/Illinois/A01202978/2011|A_/_H3N2|unassigned|2011-12-16|HA|4|EPI_ISL_127583","1990.4.a","A/swine/Illinois/A01202978/2011|A_/_H3N2|1990.4.a|2011-12-16|HA|4|EPI_ISL_127583","Illinois","2011-12-16"
"A/swine/Illinois/A01240891/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_130024","1990.4.a","A/swine/Illinois/A01240891/2012|A_/_H3N2|1990.4.a|2012-01-05|HA|4|EPI_ISL_130024","Illinois","2012-01-05"
"A/swine/Illinois/A01240835/2012|A_/_H3N2|unassigned|2012-01-03|HA|4|EPI_ISL_130031","unassigned","A/swine/Illinois/A01240835/2012|A_/_H3N2|unassigned|2012-01-03|HA|4|EPI_ISL_130031","Illinois","2012-01-03"
"A/swine/Illinois/A01240836/2012|A_/_H3N2|unassigned|2012-01-03|HA|4|EPI_ISL_130098","unassigned","A/swine/Illinois/A01240836/2012|A_/_H3N2|unassigned|2012-01-03|HA|4|EPI_ISL_130098","Illinois","2012-01-03"
"A/swine/Illinois/A01241469/2012|A_/_H3N2|unassigned|2012-02-08|HA|4|EPI_ISL_124295","1990.4.a","A/swine/Illinois/A01241469/2012|A_/_H3N2|1990.4.a|2012-02-08|HA|4|EPI_ISL_124295","Illinois","2012-02-08"
"A/swine/Illinois/A01241842/2012|A_/_H3N2|unassigned|2012-02-27|HA|4|EPI_ISL_124323","1990.4.a","A/swine/Illinois/A01241842/2012|A_/_H3N2|1990.4.a|2012-02-27|HA|4|EPI_ISL_124323","Illinois","2012-02-27"
"A/swine/Indiana/A01327215/2012|A_/_H3N2|unassigned|2012-02-06|HA|4|EPI_ISL_130025","1990.4.a","A/swine/Indiana/A01327215/2012|A_/_H3N2|1990.4.a|2012-02-06|HA|4|EPI_ISL_130025","Indiana","2012-02-06"
"A/swine/Indiana/A01327213/2012|A_/_H3N2|unassigned|2012-02-06|HA|4|EPI_ISL_130050","unassigned","A/swine/Indiana/A01327213/2012|A_/_H3N2|unassigned|2012-02-06|HA|4|EPI_ISL_130050","Indiana","2012-02-06"
"A/swine/Illinois/A01241840/2012|A_/_H3N2|unassigned|2012-02-27|HA|4|EPI_ISL_130094","unassigned","A/swine/Illinois/A01241840/2012|A_/_H3N2|unassigned|2012-02-27|HA|4|EPI_ISL_130094","Illinois","2012-02-27"
"A/swine/North_Carolina/A01049436/2011|A_/_H3N2|unassigned|2011-01-19|HA|4|EPI_ISL_93364","1990.4.a","A/swine/North Carolina/A01049436/2011|A_/_H3N2|1990.4.a|2011-01-19|HA|4|EPI_ISL_93364","North Carolina","2011-01-19"
"A/swine/Illinois/A00857318a/2012|A_/_H3N2|unassigned|2012-02-23|HA|4|EPI_ISL_127928","1990.4.a","A/swine/Illinois/A00857318a/2012|A_/_H3N2|1990.4.a|2012-02-23|HA|4|EPI_ISL_127928","Illinois","2012-02-23"
"A/swine/Indiana/A01049744/2011|A_/_H3N2|unassigned|2011-03-23|HA|4|EPI_ISL_97119","1990.4.a","A/swine/Indiana/A01049744/2011|A_/_H3N2|1990.4.a|2011-03-23|HA|4|EPI_ISL_97119","Indiana","2011-03-23"
"A/swine/Indiana/A01049745/2011|A_/_H3N2|unassigned|2011-03-23|HA|4|EPI_ISL_97118","1990.4.a","A/swine/Indiana/A01049745/2011|A_/_H3N2|1990.4.a|2011-03-23|HA|4|EPI_ISL_97118","Indiana","2011-03-23"
"A/swine/Indiana/A00968321/2010|A_/_H3N2|unassigned|2010-10-18|HA|4|EPI_ISL_102546","1990.4.a","A/swine/Indiana/A00968321/2010|A_/_H3N2|1990.4.a|2010-10-18|HA|4|EPI_ISL_102546","Indiana","2010-10-18"
"A/swine/Illinois/A01076719/2010|A_/_H3N2|unassigned|2010-11-01|HA|4|EPI_ISL_103957","unassigned","A/swine/Illinois/A01076719/2010|A_/_H3N2|unassigned|2010-11-01|HA|4|EPI_ISL_103957","Illinois","2010-11-01"
"A/swine/Indiana/A00968322/2010|A_/_H3N2|unassigned|2010-10-18|HA|4|EPI_ISL_102557","1990.4.a","A/swine/Indiana/A00968322/2010|A_/_H3N2|1990.4.a|2010-10-18|HA|4|EPI_ISL_102557","Indiana","2010-10-18"
"A/swine/Ohio/10SW128/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133837","1990.4.a","A/swine/Ohio/10SW128/2010|A_/_H3N2|1990.4.a|2010-08-12|HA|4|EPI_ISL_133837","Ohio","2010-08-12"
"A/swine/Ohio/10SW156/2010|A_/_H3N2|unassigned|2010-08-19|HA|4|EPI_ISL_133846","unassigned","A/swine/Ohio/10SW156/2010|A_/_H3N2|unassigned|2010-08-19|HA|4|EPI_ISL_133846","Ohio","2010-08-19"
"A/swine/Ohio/10SW137/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133844","unassigned","A/swine/Ohio/10SW137/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133844","Ohio","2010-08-12"
"A/swine/Ohio/10SW218/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133861","unassigned","A/swine/Ohio/10SW218/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133861","Ohio","2010-08-24"
"A/swine/Ohio/10SW215/2010|A_/_H3N2|unassigned|2010-06-01|HA|4|EPI_ISL_142725","unassigned","A/swine/Ohio/10SW215/2010|A_/_H3N2|unassigned|2010-06-01|HA|4|EPI_ISL_142725","Ohio","2010-06-01"
"A/swine/Ohio/10SW135/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133842","1990.4.a","A/swine/Ohio/10SW135/2010|A_/_H3N2|1990.4.a|2010-08-12|HA|4|EPI_ISL_133842","Ohio","2010-08-12"
"A/swine/Ohio/10SW134/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133841","1990.4.a","A/swine/Ohio/10SW134/2010|A_/_H3N2|1990.4.a|2010-08-12|HA|4|EPI_ISL_133841","Ohio","2010-08-12"
"A/swine/Ohio/10SW130/2010|A_/_H3N2|unassigned|2010-06-01|HA|4|EPI_ISL_142726","1990.4.a","A/swine/Ohio/10SW130/2010|A_/_H3N2|1990.4.a|2010-06-01|HA|4|EPI_ISL_142726","Ohio","2010-06-01"
"A/swine/Ohio/10SW126/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133835","1990.4.a","A/swine/Ohio/10SW126/2010|A_/_H3N2|1990.4.a|2010-08-12|HA|4|EPI_ISL_133835","Ohio","2010-08-12"
"A/swine/Minnesota/A01134337/2010|A_/_H3N2|unassigned|2010-11-17|HA|4|EPI_ISL_116233","1990.4.a","A/swine/Minnesota/A01134337/2010|A_/_H3N2|1990.4.a|2010-11-17|HA|4|EPI_ISL_116233","Minnesota","2010-11-17"
"A/swine/Indiana/A01049653/2011|A_/_H3N2|unassigned|2011-03-08|HA|4|EPI_ISL_97080","1990.4.a","A/swine/Indiana/A01049653/2011|A_/_H3N2|1990.4.a|2011-03-08|HA|4|EPI_ISL_97080","Indiana","2011-03-08"
"A/swine/Minnesota/A01076999/2010|A_/_H3N2|unassigned|2010-09-22|HA|4|EPI_ISL_116395","unassigned","A/swine/Minnesota/A01076999/2010|A_/_H3N2|unassigned|2010-09-22|HA|4|EPI_ISL_116395","Minnesota","2010-09-22"
"A/swine/Ohio/10SW125/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133834","unassigned","A/swine/Ohio/10SW125/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133834","Ohio","2010-08-12"
"A/swine/Ohio/10SW121/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133832","unassigned","A/swine/Ohio/10SW121/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133832","Ohio","2010-08-12"
"A/swine/Ohio/10SW131/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133838","unassigned","A/swine/Ohio/10SW131/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133838","Ohio","2010-08-12"
"A/swine/Ohio/10SW132/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133839","unassigned","A/swine/Ohio/10SW132/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133839","Ohio","2010-08-12"
"A/swine/Ohio/10SW136/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133843","unassigned","A/swine/Ohio/10SW136/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133843","Ohio","2010-08-12"
"A/swine/Ohio/10SW202/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133847","unassigned","A/swine/Ohio/10SW202/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133847","Ohio","2010-08-24"
"A/swine/Ohio/10SW139/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133845","unassigned","A/swine/Ohio/10SW139/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133845","Ohio","2010-08-12"
"A/swine/Ohio/10SW205/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133850","unassigned","A/swine/Ohio/10SW205/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133850","Ohio","2010-08-24"
"A/swine/Ohio/10SW206/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133851","unassigned","A/swine/Ohio/10SW206/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133851","Ohio","2010-08-24"
"A/swine/Ohio/10SW203/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133848","unassigned","A/swine/Ohio/10SW203/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133848","Ohio","2010-08-24"
"A/swine/Ohio/10SW209/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133854","unassigned","A/swine/Ohio/10SW209/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133854","Ohio","2010-08-24"
"A/swine/Ohio/10SW210/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133855","unassigned","A/swine/Ohio/10SW210/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133855","Ohio","2010-08-24"
"A/swine/Ohio/10SW207/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133852","unassigned","A/swine/Ohio/10SW207/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133852","Ohio","2010-08-24"
"A/swine/Ohio/10SW208/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133853","unassigned","A/swine/Ohio/10SW208/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133853","Ohio","2010-08-24"
"A/swine/Ohio/10SW213/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133858","unassigned","A/swine/Ohio/10SW213/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133858","Ohio","2010-08-24"
"A/swine/Ohio/10SW214/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133859","unassigned","A/swine/Ohio/10SW214/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133859","Ohio","2010-08-24"
"A/swine/Ohio/10SW211/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133856","unassigned","A/swine/Ohio/10SW211/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133856","Ohio","2010-08-24"
"A/swine/Ohio/10SW212/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133857","unassigned","A/swine/Ohio/10SW212/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133857","Ohio","2010-08-24"
"A/swine/Ohio/10SW219/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133862","unassigned","A/swine/Ohio/10SW219/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133862","Ohio","2010-08-24"
"A/swine/Ohio/10SW220/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133863","unassigned","A/swine/Ohio/10SW220/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133863","Ohio","2010-08-24"
"A/swine/Ohio/10SW216/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133860","unassigned","A/swine/Ohio/10SW216/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133860","Ohio","2010-08-24"
"A/swine/Ohio/10SW122/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133833","1990.4.a","A/swine/Ohio/10SW122/2010|A_/_H3N2|1990.4.a|2010-08-12|HA|4|EPI_ISL_133833","Ohio","2010-08-12"
"A/swine/Ohio/10SW127/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133836","1990.4.a","A/swine/Ohio/10SW127/2010|A_/_H3N2|1990.4.a|2010-08-12|HA|4|EPI_ISL_133836","Ohio","2010-08-12"
"A/swine/Ohio/10SW133/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133840","1990.4.a","A/swine/Ohio/10SW133/2010|A_/_H3N2|1990.4.a|2010-08-12|HA|4|EPI_ISL_133840","Ohio","2010-08-12"
"A/swine/Ohio/10SW204/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133849","1990.4.a","A/swine/Ohio/10SW204/2010|A_/_H3N2|1990.4.a|2010-08-24|HA|4|EPI_ISL_133849","Ohio","2010-08-24"
"A/swine/Ohio/11SW109/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133866","1990.4.a","A/swine/Ohio/11SW109/2011|A_/_H3N2|1990.4.a|2011-08-05|HA|4|EPI_ISL_133866","Ohio","2011-08-05"
"A/swine/Ohio/11SW112/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133867","1990.4.a","A/swine/Ohio/11SW112/2011|A_/_H3N2|1990.4.a|2011-08-05|HA|4|EPI_ISL_133867","Ohio","2011-08-05"
"A/swine/Ohio/11SW103/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133864","unassigned","A/swine/Ohio/11SW103/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133864","Ohio","2011-08-05"
"A/swine/Ohio/11SW113/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133868","unassigned","A/swine/Ohio/11SW113/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133868","Ohio","2011-08-05"
"A/swine/Ohio/11SW96/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133877","unassigned","A/swine/Ohio/11SW96/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133877","Ohio","2011-08-05"
"A/swine/Ohio/11SW163/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133899","unassigned","A/swine/Ohio/11SW163/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133899","Ohio","2011-08-08"
"A/swine/Ohio/11SW175/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133908","unassigned","A/swine/Ohio/11SW175/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133908","Ohio","2011-08-08"
"A/swine/Ohio/11SW208/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142723","unassigned","A/swine/Ohio/11SW208/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142723","Ohio","2011-06-01"
"A/swine/Ohio/11SW108/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133865","1990.4.a","A/swine/Ohio/11SW108/2011|A_/_H3N2|1990.4.a|2011-08-05|HA|4|EPI_ISL_133865","Ohio","2011-08-05"
"A/swine/Ohio/11SW173/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133906","unassigned","A/swine/Ohio/11SW173/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133906","Ohio","2011-08-08"
"A/swine/Ohio/11SW196/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133921","unassigned","A/swine/Ohio/11SW196/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133921","Ohio","2011-08-08"
"A/swine/Ohio/11SW95/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133876","1990.4.a","A/swine/Ohio/11SW95/2011|A_/_H3N2|1990.4.a|2011-08-05|HA|4|EPI_ISL_133876","Ohio","2011-08-05"
"A/swine/Ohio/11SW172/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133905","1990.4.a","A/swine/Ohio/11SW172/2011|A_/_H3N2|1990.4.a|2011-08-08|HA|4|EPI_ISL_133905","Ohio","2011-08-08"
"A/swine/Ohio/11SW115/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133870","unassigned","A/swine/Ohio/11SW115/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133870","Ohio","2011-08-05"
"A/swine/Ohio/11SW118/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133871","unassigned","A/swine/Ohio/11SW118/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133871","Ohio","2011-08-05"
"A/swine/Ohio/11SW114/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133869","unassigned","A/swine/Ohio/11SW114/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133869","Ohio","2011-08-05"
"A/swine/Ohio/11SW94/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133875","unassigned","A/swine/Ohio/11SW94/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133875","Ohio","2011-08-05"
"A/swine/Ohio/11SW161/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133898","unassigned","A/swine/Ohio/11SW161/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133898","Ohio","2011-08-08"
"A/swine/Ohio/11SW169/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133902","unassigned","A/swine/Ohio/11SW169/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133902","Ohio","2011-08-08"
"A/swine/Ohio/11SW170/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133903","unassigned","A/swine/Ohio/11SW170/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133903","Ohio","2011-08-08"
"A/swine/Ohio/11SW179/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133910","unassigned","A/swine/Ohio/11SW179/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133910","Ohio","2011-08-08"
"A/swine/Ohio/11SW180/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133911","unassigned","A/swine/Ohio/11SW180/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133911","Ohio","2011-08-08"
"A/swine/Ohio/11SW185/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133914","unassigned","A/swine/Ohio/11SW185/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133914","Ohio","2011-08-08"
"A/swine/Ohio/11SW186/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133915","unassigned","A/swine/Ohio/11SW186/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133915","Ohio","2011-08-08"
"A/swine/Ohio/11SW183/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133912","unassigned","A/swine/Ohio/11SW183/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133912","Ohio","2011-08-08"
"A/swine/Ohio/11SW191/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133918","unassigned","A/swine/Ohio/11SW191/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133918","Ohio","2011-08-08"
"A/swine/Ohio/11SW187/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133916","unassigned","A/swine/Ohio/11SW187/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133916","Ohio","2011-08-08"
"A/swine/Ohio/11SW197/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133922","unassigned","A/swine/Ohio/11SW197/2011|A_/_H3N2|unassigned|2011-08-08|HA|4|EPI_ISL_133922","Ohio","2011-08-08"
"A/swine/Ohio/11SW211/2011|A_/_H3N2|unassigned|2011-08-12|HA|4|EPI_ISL_133933","unassigned","A/swine/Ohio/11SW211/2011|A_/_H3N2|unassigned|2011-08-12|HA|4|EPI_ISL_133933","Ohio","2011-08-12"
"A/swine/Ohio/11SW347/2011|A_/_H3N2|unassigned|2011-08-19|HA|4|EPI_ISL_133955","unassigned","A/swine/Ohio/11SW347/2011|A_/_H3N2|unassigned|2011-08-19|HA|4|EPI_ISL_133955","Ohio","2011-08-19"
"A/swine/Ohio/11SW111/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142724","unassigned","A/swine/Ohio/11SW111/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142724","Ohio","2011-06-01"
"A/swine/Ohio/11SW93/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133874","1990.4.a","A/swine/Ohio/11SW93/2011|A_/_H3N2|1990.4.a|2011-08-05|HA|4|EPI_ISL_133874","Ohio","2011-08-05"
"A/swine/Ohio/11SW119/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133872","unassigned","A/swine/Ohio/11SW119/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133872","Ohio","2011-08-05"
"A/swine/Ohio/11SW97/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133878","unassigned","A/swine/Ohio/11SW97/2011|A_/_H3N2|unassigned|2011-08-05|HA|4|EPI_ISL_133878","Ohio","2011-08-05"
